figure,evidence_tier,dataset,model,metric,value,source,note
03_three_seed_robustness,final,VoiceBank-DEMAND,V14.2 seed 1201,enhanced_si_sdr,18.156346502234634,results/v14/replication_evaluation/standard/v14_2_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,VoiceBank-DEMAND,V14.2 seed 1202,enhanced_si_sdr,18.22079721122112,results/v14/replication_evaluation/standard/v14_2_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,VoiceBank-DEMAND,V13 seed 1200,enhanced_stoi,0.9362283145014165,results/v14/replication_evaluation/standard/v13_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,VoiceBank-DEMAND,V13 seed 1201,enhanced_stoi,0.9318984967394421,results/v14/replication_evaluation/standard/v13_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,VoiceBank-DEMAND,V13 seed 1202,enhanced_stoi,0.9347849695030671,results/v14/replication_evaluation/standard/v13_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,VoiceBank-DEMAND,V14.2 seed 1200,enhanced_stoi,0.9371264085288039,results/v14/replication_evaluation/standard/v14_2_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,VoiceBank-DEMAND,V14.2 seed 1201,enhanced_stoi,0.9367710866223165,results/v14/replication_evaluation/standard/v14_2_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,VoiceBank-DEMAND,V14.2 seed 1202,enhanced_stoi,0.9368562521486251,results/v14/replication_evaluation/standard/v14_2_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,VoiceBank-DEMAND,V13 seed 1200,enhanced_estoi,0.8404903142796207,results/v14/replication_evaluation/standard/v13_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,VoiceBank-DEMAND,V13 seed 1201,enhanced_estoi,0.8350375979497255,results/v14/replication_evaluation/standard/v13_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,VoiceBank-DEMAND,V13 seed 1202,enhanced_estoi,0.8403775849411499,results/v14/replication_evaluation/standard/v13_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,VoiceBank-DEMAND,V14.2 seed 1200,enhanced_estoi,0.8410840026602635,results/v14/replication_evaluation/standard/v14_2_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,VoiceBank-DEMAND,V14.2 seed 1201,enhanced_estoi,0.8407968099958618,results/v14/replication_evaluation/standard/v14_2_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,VoiceBank-DEMAND,V14.2 seed 1202,enhanced_estoi,0.8412677656843298,results/v14/replication_evaluation/standard/v14_2_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,DNS1 external,V13 seed 1200,enhanced_pesq,1.8385905933380127,results/v14/replication_evaluation/external/v13_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,DNS1 external,V13 seed 1201,enhanced_pesq,1.7183660133679708,results/v14/replication_evaluation/external/v13_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,DNS1 external,V13 seed 1202,enhanced_pesq,1.7909513314565022,results/v14/replication_evaluation/external/v13_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,DNS1 external,V14.2 seed 1200,enhanced_pesq,1.8503429977099102,results/v14/replication_evaluation/external/v14_2_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,DNS1 external,V14.2 seed 1201,enhanced_pesq,1.838861838976542,results/v14/replication_evaluation/external/v14_2_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,DNS1 external,V14.2 seed 1202,enhanced_pesq,1.8370976567268371,results/v14/replication_evaluation/external/v14_2_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,DNS1 external,V13 seed 1200,enhanced_si_sdr,12.005761054456235,results/v14/replication_evaluation/external/v13_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,DNS1 external,V13 seed 1201,enhanced_si_sdr,10.714168329834939,results/v14/replication_evaluation/external/v13_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,DNS1 external,V13 seed 1202,enhanced_si_sdr,11.62078826000293,results/v14/replication_evaluation/external/v13_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,DNS1 external,V14.2 seed 1200,enhanced_si_sdr,11.6547599508365,results/v14/replication_evaluation/external/v14_2_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,DNS1 external,V14.2 seed 1201,enhanced_si_sdr,11.211316960255305,results/v14/replication_evaluation/external/v14_2_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,DNS1 external,V14.2 seed 1202,enhanced_si_sdr,11.861944308678309,results/v14/replication_evaluation/external/v14_2_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,DNS1 external,V13 seed 1200,enhanced_stoi,0.9125495516260188,results/v14/replication_evaluation/external/v13_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,DNS1 external,V13 seed 1201,enhanced_stoi,0.8756929843284392,results/v14/replication_evaluation/external/v13_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,DNS1 external,V13 seed 1202,enhanced_stoi,0.9069289650069392,results/v14/replication_evaluation/external/v13_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,DNS1 external,V14.2 seed 1200,enhanced_stoi,0.9077262621624534,results/v14/replication_evaluation/external/v14_2_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,DNS1 external,V14.2 seed 1201,enhanced_stoi,0.8970632889292256,results/v14/replication_evaluation/external/v14_2_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,DNS1 external,V14.2 seed 1202,enhanced_stoi,0.9112587873803367,results/v14/replication_evaluation/external/v14_2_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,DNS1 external,V13 seed 1200,enhanced_estoi,0.8347690102397956,results/v14/replication_evaluation/external/v13_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,DNS1 external,V13 seed 1201,enhanced_estoi,0.7900051750333467,results/v14/replication_evaluation/external/v13_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,DNS1 external,V13 seed 1202,enhanced_estoi,0.8251874058152409,results/v14/replication_evaluation/external/v13_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,DNS1 external,V14.2 seed 1200,enhanced_estoi,0.8269948565730041,results/v14/replication_evaluation/external/v14_2_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,DNS1 external,V14.2 seed 1201,enhanced_estoi,0.8153325293305642,results/v14/replication_evaluation/external/v14_2_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,DNS1 external,V14.2 seed 1202,enhanced_estoi,0.828439101795754,results/v14/replication_evaluation/external/v14_2_aggregate.json,Per-seed aggregate.
04_streaming_efficiency,deployment,"AMD Ryzen 7 7800X3D, one CPU thread",V8 Mamba,Parameters,1.067471,results/runtime/v8_native_streaming_7800x3d.json,All models use 20 ms algorithmic latency; V12 entries are structural benchmarks.
04_streaming_efficiency,deployment,"AMD Ryzen 7 7800X3D, one CPU thread",V12 Mamba,Parameters,1.067471,results/runtime/v12_structural_latency_7800x3d.json,All models use 20 ms algorithmic latency; V12 entries are structural benchmarks.
04_streaming_efficiency,deployment,"AMD Ryzen 7 7800X3D, one CPU thread",V12 GRU,Parameters,1.083479,results/runtime/v12_structural_latency_7800x3d.json,All models use 20 ms algorithmic latency; V12 entries are structural benchmarks.
04_streaming_efficiency,deployment,"AMD Ryzen 7 7800X3D, one CPU thread",V13 GRU-T1,Parameters,0.808095,results/runtime/v13_final_gru_seed1200_cpu.json,All models use 20 ms algorithmic latency; V12 entries are structural benchmarks.
04_streaming_efficiency,deployment,"AMD Ryzen 7 7800X3D, one CPU thread",V14.2 final,Parameters,0.808095,results/runtime/v14_2_distilled_seed1200_cpu.json,All models use 20 ms algorithmic latency; V12 entries are structural benchmarks.
04_streaming_efficiency,deployment,"AMD Ryzen 7 7800X3D, one CPU thread",V8 Mamba,Frame time (p95),10.521821000000001,results/runtime/v8_native_streaming_7800x3d.json,All models use 20 ms algorithmic latency; V12 entries are structural benchmarks.
04_streaming_efficiency,deployment,"AMD Ryzen 7 7800X3D, one CPU thread",V12 Mamba,Frame time (p95),10.384025000000001,results/runtime/v12_structural_latency_7800x3d.json,All models use 20 ms algorithmic latency; V12 entries are structural benchmarks.
04_streaming_efficiency,deployment,"AMD Ryzen 7 7800X3D, one CPU thread",V12 GRU,Frame time (p95),6.6512614999999995,results/runtime/v12_structural_latency_7800x3d.json,All models use 20 ms algorithmic latency; V12 entries are structural benchmarks.
04_streaming_efficiency,deployment,"AMD Ryzen 7 7800X3D, one CPU thread",V13 GRU-T1,Frame time (p95),4.05598455,results/runtime/v13_final_gru_seed1200_cpu.json,All models use 20 ms algorithmic latency; V12 entries are structural benchmarks.
04_streaming_efficiency,deployment,"AMD Ryzen 7 7800X3D, one CPU thread",V14.2 final,Frame time (p95),4.077111,results/runtime/v14_2_distilled_seed1200_cpu.json,All models use 20 ms algorithmic latency; V12 entries are structural benchmarks.
